UniqueId,AdminUnit,CalFireIncident,CanonicalUrl,Counties,CrewsInvolved,Dozers,Engines,Extinguished,Fatalities,Featured,Final,Helicopters,Injuries,Latitude,Location,Longitude,MajorIncident,Name,PercentContained,PersonnelInvolved,Description,Started,Status,Updated,Label
203.205.147.229-10.42.0.151-80-41016-6,Stanislaus National Forest/Yosemite National Park,TRUE,/incidents/2013/8/17/rim-fire/,Tuolumne,,,,2013-09-06T18:30:00Z,2,FALSE,TRUE,,,37.857,3 miles east of Groveland along Hwy 120,-120.086,FALSE,Rim Fire,100,,The Rim Fire was east of Groveland along Highway 20.,2013-08-17T15:25:00Z,Finalized,2013-09-06T18:30:00Z,0
10.42.0.211-10.42.0.1-40605-53-17,USFS Angeles National Forest/Los Angeles County/CAL FIRE,TRUE,/incidents/2013/5/30/powerhouse-fire/,Los Angeles,,,,2013-06-08T18:30:00Z,6,FALSE,TRUE,,,34.585595,Angeles National Forest,-118.423176,FALSE,Powerhouse Fire,100,,The Powerhouse Fire burned in May and June 2013 on the Angeles National Forest in Los Angeles County. ,2013-05-30T15:28:00Z,Finalized,2013-06-08T18:30:00Z,0
10.42.0.211-23.206.125.17-38453-80-6,CAL FIRE Riverside Unit / San Bernardino National Forest,TRUE,/incidents/2013/7/15/mountain-fire/,Riverside,,,,2013-07-30T18:00:00Z,2,FALSE,TRUE,,,33.7095,Hwy 243 & Hwy 74 near Mountain Center,-116.72885,FALSE,Mountain Fire,100,,The Mountain Fire burned in July 2013 off Highway 243 and Highway 74 near Mountain Center in Riverside County on the San Bernardino National Forest. ,2013-07-15T13:43:00Z,Finalized,2013-07-30T18:00:00Z,1
10.42.0.151-121.14.255.49-52333-80-6,Tahoe National Forest,FALSE,/incidents/2013/8/10/american-fire/,Placer,,,,2013-08-30T08:00:00Z,59,FALSE,TRUE,,,39.12,"Deadwood Ridge, northeast of Foresthill",-120.65,FALSE,American Fire,100,,"The American Fire burned in August 2013 off Deadwood Ridge, northeast of Foresthill on the Tahoe National Forest in Placer County. ",2013-08-10T16:30:00Z,Finalized,2013-08-30T08:00:00Z,1
172.217.10.227-10.42.0.42-443-58079-6,Ventura County Fire/CAL FIRE,TRUE,/incidents/2013/5/2/springs-fire/,Ventura,47,8,117,2013-05-11T06:30:00Z,0,FALSE,TRUE,11,10,0,"Southbound Highway 101 at Camarillo Springs Road, Camarillo",0,TRUE,Springs Fire,100,2167,"The Springs Fire burned in May 2013, Southbound Highway 101 at Camarillo Springs Road, Camarillo, in Ventura County. ",2013-05-02T07:01:00Z,Finalized,2013-05-11T06:30:00Z,0
172.217.8.3-10.42.0.42-443-56312-6,Sierra National Forest,FALSE,/incidents/2013/7/22/aspen-fire/,Fresno,,,,2013-09-24T20:15:00Z,1,FALSE,TRUE,,,37.279,Seven miles north of Big Creek,-119.318,FALSE,Aspen Fire,100,,The Aspen Fire burned in July 2013 seven miles north of Big Creek on the Sierra National Forest in Fresno County.,2013-07-22T22:15:00Z,Finalized,2013-09-24T20:15:00Z,1
151.101.1.140-10.42.0.151-443-40597-6,CAL FIRE Riverside Unit / San Bernardino National Forest,TRUE,/incidents/2013/8/7/silver-fire/,Riverside,63,20,201,2013-08-12T18:00:00Z,1,FALSE,TRUE,20,26,33.86157,"Poppet Flats Rd near Hwy 243, south of Banning",-116.90427,TRUE,Silver Fire,100,2106,"The Silver Fire burned in August 2013 off Poppet Flats Rd near Hwy 243, south of Banning in Riverside County. ",2013-08-07T14:05:00Z,Finalized,2013-08-12T18:00:00Z,0
172.217.12.202-10.42.0.211-443-38540-6,Klamath National Forest,FALSE,/incidents/2013/7/31/salmon-river-complex/,Siskiyou,,,,2013-08-31T06:45:00Z,0,FALSE,TRUE,,,41.32,"North Fork of the Salmon River, West of Sawyers Bar, Klamath National Forest",-123.176,FALSE,Salmon River Complex,100,,"The Salmon River Complex burned in July and August 2013 near North Fork of the Salmon River, West of Sawyers Bar, on Klamath National Forest in Siskiyou County. ",2013-07-31T22:00:00Z,Finalized,2013-08-31T06:45:00Z,1
174.35.73.77-10.42.0.211-80-50427-6,Six Rivers National Forest,FALSE,/incidents/2013/8/10/corral-complex/,Humboldt,,,,2013-08-12T12:00:00Z,115,FALSE,TRUE,,,41.035,Tish Tang Ridge east of Hoopa Valley Reservation,-123.488,FALSE,Corral Complex,100,,The Corral Complex burned in August 2013 off Tish Tang Ridge east of Hoopa Valley Reservation on the Six Rivers National Forest in Humboldt County. ,2013-08-10T11:40:00Z,Finalized,2013-08-12T12:00:00Z,0
10.42.0.151-104.192.110.245-54119-443-6,CAL FIRE Tehama-Glenn Unit,TRUE,/incidents/2013/8/23/deer-fire/,Tehama,30,3,36,2013-08-29T16:45:00Z,0,FALSE,TRUE,5,5,40.04263,"Near Deer Creek, 12 miles east of Los Molinos. ",-121.85397,TRUE,Deer Fire,100,898,"The Deer Fire burned in August near Deer Creek, 12 miles east of Los Molinos in Tehama County. ",2013-08-23T14:15:00Z,Finalized,2013-08-29T16:45:00Z,1
10.42.0.42-111.202.114.35-42456-80-6,CAL FIRE Shasta-Trinity Unit,TRUE,/incidents/2013/9/9/clover-fire/,Shasta,12,3,30,2013-09-15T07:30:00Z,0,FALSE,TRUE,,6,40.498332,"Community of Igo, 10 miles southwest of Redding",-122.535496,TRUE,Clover Fire,100,342,"The Clover Fire burned September 2013 near the community of Igo, 10 miles southwest of Redding, in Shasta County.",2013-09-09T12:32:00Z,Finalized,2013-09-15T07:30:00Z,0
172.217.10.1-10.42.0.211-443-34135-6,CAL FIRE San Diego Unit / Cleveland National Forest,TRUE,/incidents/2013/7/6/chariot-fire/,San Diego,56,24,183,2013-07-15T06:15:00Z,0,FALSE,TRUE,9,12,32.95435,"off Sunrise Hwy, 9 miles southeast of Julian",-116.47381,TRUE,Chariot Fire,100,2147,"Chariot Fire burned in July 2013 off Sunrise Hwy, 9 miles southeast of Julian in San Diego County. ",2013-07-06T12:55:00Z,Finalized,2013-07-15T06:15:00Z,0
8.41.222.241-10.42.0.211-443-37920-6,CAL FIRE Butte Unit,TRUE,/incidents/2013/5/1/panther-fire/,Tehama,53,22,131,2013-05-09T09:00:00Z,0,FALSE,TRUE,6,6,40.190062,"140K3 Line, 8 miles northwest of Butte Meadows",-121.595555,TRUE,Panther Fire,100,1811,"The Panther Fire burned in May 2013, off the 140K3 Line, 8 miles northwest of Butte Meadows in Butte County. ",2013-05-01T09:12:00Z,Finalized,2013-05-09T09:00:00Z,0
216.58.219.206-10.42.0.42-443-57356-6,CAL FIRE / USFS Los Padres National Forest,TRUE,/incidents/2013/5/15/grand-fire/,Kern,29,1,34,2013-05-21T19:45:00Z,0,FALSE,TRUE,1,4,34.7861,"South of Frazier Mountain Park Rd, South of Frazier Park",-118.9411,TRUE,Grand Fire,100,847,"The Grand Fire burned in May 2013, South of Frazier Mountain Park Rd, South of Frazier Park on the USFS Los Padres National Forest in Kern and Ventura County. ",2013-05-15T12:50:00Z,Finalized,2013-05-21T19:45:00Z,0
10.42.0.151-10.42.0.1-3090-53-17,CAL FIRE / USFS Los Padres National Forest,TRUE,/incidents/2013/5/15/grand-fire/,Ventura,29,1,34,2013-05-21T19:45:00Z,0,FALSE,TRUE,1,4,34.7861,"South of Frazier Mountain Park Rd, South of Frazier Park",-118.9411,TRUE,Grand Fire,100,847,"The Grand Fire burned in May 2013, South of Frazier Mountain Park Rd, South of Frazier Park on the USFS Los Padres National Forest in Kern and Ventura County. ",2013-05-15T12:50:00Z,Finalized,2013-05-21T19:45:00Z,0
172.217.12.206-10.42.0.42-443-50154-6,CAL FIRE Sonoma-Lake-Napa Unit,TRUE,/incidents/2013/11/22/mccabe-fire/,Sonoma,8,,5,2013-11-27T18:15:00Z,0,FALSE,TRUE,,6,38.8167,"The Geysers area, 10 miles northeast of Geyserville",-122.8498,TRUE,McCabe Fire,100,188,"The McCabe Fire is burning in The Geysers area, east of Cloverdale, Sonoma County.",2013-11-22T02:04:00Z,Finalized,2013-11-27T18:15:00Z,1
172.217.10.106-10.42.0.151-443-33034-6,CAL FIRE/Riverside County Fire ,TRUE,/incidents/2013/5/1/summit-fire/,Riverside,36,5,62,2013-05-04T18:30:00Z,6,FALSE,TRUE,5,2,34.288877,Mias Canyon and Bluff Road in Banning,-116.941311,TRUE,Summit Fire,100,726,The Summit Fire burned in May 2013 near Mias Canyon and Bluff Road in Banning in Riverside County. ,2013-05-01T12:38:00Z,Finalized,2013-05-04T18:30:00Z,1
182.22.24.124-10.42.0.211-443-53918-6,CAL FIRE Santa-Clara Unit,TRUE,/incidents/2013/9/8/morgan-fire/,Contra Costa,8,5,3,2013-09-14T17:30:00Z,4,FALSE,TRUE,,,37.90757,"off Morgan Territory Road, Southeast of Clayton",-121.882582,TRUE,Morgan Fire,100,231,"The Morgan Fire burned September 2013 off of Morgan Territory Road, southeast of Clayton, in Contra Costa County.",2013-09-08T13:08:00Z,Finalized,2013-09-14T17:30:00Z,0
136.142.1.3-0.95.2.3-0-0-0,CAL FIRE San Diego Unit,TRUE,/incidents/2013/5/23/san-felipe-fire/,San Diego,33,25,73,2013-05-26T17:45:00Z,2,FALSE,TRUE,25,5,33.12111,"San Felipe Road, north of Highway 78, East of Julian",-116.52579,TRUE,San Felipe Fire,100,911,"The San Felipe Fire burned in May 2013, off San Felipe Road, north of Highway 78, East of Julian in San Diego County. ",2013-05-23T12:20:00Z,Finalized,2013-05-26T17:45:00Z,0
10.42.0.151-104.254.66.16-34733-80-6,CAL FIRE Butte Unit,TRUE,/incidents/2013/8/16/swedes-fire/,Butte,33,28,95,2013-08-22T18:00:00Z,7,FALSE,TRUE,20,5,39.446268,southeast of Oroville,-121.38236,TRUE,Swedes Fire,100,1484,The Swedes Fire burned in August 2013 southeast of Oroville in Butte County. ,2013-08-16T16:37:00Z,Finalized,2013-08-22T18:00:00Z,0
10.42.0.211-111.202.114.77-37500-443-6,Camp Pendleton Marine Corps Base,FALSE,/incidents/2013/10/5/deluz-fire/,San Diego,,,,2013-10-09T19:00:00Z,2,FALSE,TRUE,,,33.341,"On Camp Pendleton, west of Fallbrook",-117.3092,FALSE,DeLuz Fire,100,,"The DeLuz Fire burned 2,236 acres in October 2013 on Camp Pendleton Marine Corps Base, east of Fallbrook in San Diego County,",2013-10-05T12:45:00Z,Finalized,2013-10-09T19:00:00Z,1
174.35.73.97-10.42.0.42-80-45772-6,Sequoia National Forest,FALSE,/incidents/2013/8/24/fish-fire/,Tulare,,,,2013-09-24T20:15:00Z,9,FALSE,TRUE,,,36.208,Golden Trout Wilderness on the Sequoia National Forest.,-118.444,FALSE,Fish Fire,100,,The Fish Fire burned August 2013 in the Golden Trout Wilderness on the Sequoia National Forest in Tulare County.,2013-08-24T14:31:00Z,Finalized,2013-09-24T20:15:00Z,1
